date,lsi_raw,lsi_smooth,lsi_lo,lsi_hi
2016-05-06,83.12595020018364,82.31431063760499,71.18238769507056,93.44623358013942
2016-05-10,84.48273616507677,82.39562969238523,72.97125386857593,91.82000551619453
2016-05-11,84.78432067420972,81.5211600071159,73.39854899055474,89.64377102367705
2016-05-12,83.60827961762362,79.7051025505876,72.42527516469514,86.98492993648006
2016-05-13,78.7194473480894,77.34962569191703,70.4929203594921,84.20633102434195
2016-05-16,73.90617376021552,74.44962627936295,67.65777318906667,81.24147936965922
2016-05-17,69.30881008871442,71.67290684285975,64.77066190412398,78.57515178159551
2016-05-18,66.63761218948977,69.21200079547599,62.2132785243219,76.21072306663007
2016-05-19,64.18274027719814,67.57007107681302,60.496057163127084,74.64408499049897
2016-05-20,65.34728461868733,66.99453785890347,59.90207120266857,74.08700451513837
2016-05-23,66.38193728593731,67.4699805523681,60.45509867758343,74.48486242715276
2016-05-24,67.22593931744862,68.73266482405724,61.8765907434478,75.58873890466667
2016-05-25,69.87744123484873,70.72758340860203,64.17018527333525,77.28498154386881
2016-05-26,72.63690894296681,72.95297019802165,66.78499392317866,79.12094647286463
2016-05-27,75.47640209131369,75.038438246436,69.1898223964767,80.8870540963953
2016-05-30,78.14717036901166,76.98550082396143,71.08400525608633,82.88699639183653
2016-05-31,80.92499214462465,78.515899768072,72.47827336307543,84.55352617306858
2016-06-01,80.98021362483784,79.56556996862118,73.4863389866799,85.64480095056246
2016-06-02,80.85537736012668,80.10705656545159,74.16220936015971,86.05190377074346
2016-06-03,80.5902338436226,80.02420902998415,74.45109859551897,85.59731946444933
2016-06-06,79.98460034681116,79.14496032145041,73.9019169147044,84.38800372819642
2016-06-07,79.2668082691265,77.73746400047959,72.80531027739553,82.66961772356365
2016-06-08,77.56723762073958,75.84728592900777,71.20740187764522,80.48716998037031
2016-06-09,74.7702511848885,73.98945297586997,69.4337029330486,78.54520301869134
2016-06-10,71.1277393780421,72.3007783072539,67.61102652594593,76.99053008856188
2016-06-14,67.62413085982396,70.967105682083,66.04634922499386,75.88786213917214
2016-06-15,67.5854031716579,70.2676756482615,65.09697887144779,75.43837242507522
